ids,Subsector,Gas,Edgar_Class,Edgar_Subsector,Edgar_Sector,UGA
1:lvst-lsmm:ch4,lvst,ch4,AG - Livestock:CH4,AG - Livestock,Agriculture,9.972243975
1:lvst-lsmm:ch4,lsmm,ch4,AG - Livestock:CH4,AG - Livestock,Agriculture,9.972243975
3:lsmm:n2o,lsmm,n2o,AG - Livestock:N2O,AG - Livestock,Agriculture,0.299058771
4:agrc:co2,agrc,co2,AG - Crops:CO2,AG - Crops,Agriculture,0
5:agrc:ch4,agrc,ch4,AG - Crops:CH4,AG - Crops,Agriculture,0.576886757
6:agrc:n2o,agrc,n2o,AG - Crops:N2O,AG - Crops,Agriculture,8.092842785
7:scoe:co2,scoe,co2,EN - Building:CO2,EN - Building,Energy,44.8128
8:scoe:ch4,scoe,ch4,EN - Building:CH4,EN - Building,Energy,2.554440753
9:scoe:n2o,scoe,n2o,EN - Building:N2O,EN - Building,Energy,0.323356375
10:entc:co2,entc,co2,EN - Electricity/Heat:CO2,EN - Electricity/Heat,Energy,0.056306178
11:entc:ch4,entc,ch4,EN - Electricity/Heat:CH4,EN - Electricity/Heat,Energy,0.003233021
12:entc:n2o,entc,n2o,EN - Electricity/Heat:N2O,EN - Electricity/Heat,Energy,0.004118321
13:fgtv:co2,fgtv,co2,EN - Fugitive Emissions:CO2,EN - Fugitive Emissions,Energy,0
14:fgtv:ch4,fgtv,ch4,EN - Fugitive Emissions:CH4,EN - Fugitive Emissions,Energy,7.845444409
15:fgtv:n2o,fgtv,n2o,EN - Fugitive Emissions:N2O,EN - Fugitive Emissions,Energy,0.093892254
16:inen:co2,inen,co2,EN - Manufacturing/Construction:CO2,EN - Manufacturing/Construction,Energy,5.5982
17:inen:ch4,inen,ch4,EN - Manufacturing/Construction:CH4,EN - Manufacturing/Construction,Energy,0.223206125
18:inen:n2o,inen,n2o,EN - Manufacturing/Construction:N2O,EN - Manufacturing/Construction,Energy,0.157471722
19:trns:co2,trns,co2,EN - Transportation:CO2,EN - Transportation,Energy,3.824464332
20:trns:ch4,trns,ch4,EN - Transportation:CH4,EN - Transportation,Energy,0.02525927
21:trns:n2o,trns,n2o,EN - Transportation:N2O,EN - Transportation,Energy,0.053779872
22:ippu:co2,ippu,co2,IN - Industrial Processes:CO2,IN - Industrial Processes,Industrial Processes,1.76561177
23:ippu:ch4,ippu,ch4,IN - Industrial Processes:CH4,IN - Industrial Processes,Industrial Processes,0
24:ippu:n2o,ippu,n2o,IN - Industrial Processes:N2O,IN - Industrial Processes,Industrial Processes,0.534607383
25:ippu:c2f6,ippu,c2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
26:ippu:c2h3f3,ippu,c2h3f3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
27:ippu:c2hf5,ippu,c2hf5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
28:ippu:c3f8,ippu,c3f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
29:ippu:c3h2f6,ippu,c3h2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
30:ippu:c3h3f5,ippu,c3h3f5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
31:ippu:c3hf7,ippu,c3hf7,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
32:ippu:c4f10,ippu,c4f10,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
33:ippu:c4f6,ippu,c4f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
34:ippu:c4h5f5,ippu,c4h5f5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
35:ippu:c5f12,ippu,c5f12,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
36:ippu:c5f8,ippu,c5f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
37:ippu:c5h2f10,ippu,c5h2f10,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
38:ippu:c6f14,ippu,c6f14,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
39:ippu:cc4f8,ippu,cc4f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
40:ippu:cf4,ippu,cf4,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
41:ippu:ch2f2,ippu,ch2f2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
42:ippu:ch2fchf2,ippu,ch2fchf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
43:ippu:ch3cci2f,ippu,ch3cci2f,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
44:ippu:ch3ccif2,ippu,ch3ccif2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
45:ippu:ch3chf2,ippu,ch3chf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
46:ippu:ch3f,ippu,ch3f,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
47:ippu:chf2cf3,ippu,chf2cf3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
48:ippu:chf2chf2,ippu,chf2chf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
49:ippu:chf3,ippu,chf3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
50:ippu:hfcs,ippu,hfcs,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
51:ippu:other_fcs,ippu,other_fcs,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,0
52:ippu:pfcs,ippu,pfcs,IN - Industrial Processes:PFC,IN - Industrial Processes,Industrial Processes,0
53:ippu:sf6,ippu,sf6,IN - Industrial Processes:SF6,IN - Industrial Processes,Industrial Processes,0
54:waso:co2,waso,co2,Waste - Solid Waste:CO2,Waste - Solid Waste,Waste,0
55:waso:ch4,waso,ch4,Waste - Solid Waste:CH4,Waste - Solid Waste,Waste,0.595828728
56:waso:n2o,waso,n2o,Waste - Solid Waste:N2O,Waste - Solid Waste,Waste,0
57:trww:ch4,trww,ch4,Waste - Wastewater Treatment:CH4,Waste - Wastewater Treatment,Waste,7.170169542
58:trww:n2o,trww,n2o,Waste - Wastewater Treatment:N2O,Waste - Wastewater Treatment,Waste,0.452024528
66:ccsq:ch4,ccsq,ch4,CCSQ:CH4,CCSQ,CCSQ,0
67:ccsq:co2,ccsq,co2,CCSQ:CO2,CCSQ,CCSQ,0
68:ccsq:n2o,ccsq,n2o,CCSQ:N2O,CCSQ,CCSQ,0
69:frst:total,frst,,,,,-10.630
70:lndu:total,lndu,,,,,10.611
